Date,Open,High,Low,Close
2016-10-17,1.2188,1.2203,1.2136,1.2183
2016-10-18,1.2184,1.2326,1.2178,1.2298
2016-10-19,1.2297,1.233,1.2255,1.2286
2016-10-20,1.2287,1.23,1.221,1.2254
2016-10-21,1.2255,1.2261,1.2171,1.2231
2016-10-24,1.2231,1.225,1.2186,1.2238
2016-10-25,1.2239,1.2243,1.2084,1.2189
2016-10-26,1.2193,1.225,1.2157,1.2246
2016-10-27,1.2248,1.227,1.215,1.2163
2016-10-28,1.2172,1.2213,1.2114,1.2186
2016-10-31,1.2186,1.225,1.2144,1.2242
2016-11-01,1.2243,1.228,1.2207,1.2244
2016-11-02,1.2243,1.2355,1.2221,1.2302
2016-11-03,1.2304,1.2492,1.2297,1.2463
2016-11-04,1.2461,1.2558,1.245,1.2519
2016-11-07,1.2519,1.2519,1.2379,1.2397
2016-11-08,1.2395,1.2441,1.2361,1.238
2016-11-09,1.2381,1.2548,1.2354,1.2406
2016-11-10,1.2404,1.2585,1.2378,1.2554
2016-11-11,1.2555,1.2674,1.2525,1.2593
2016-11-14,1.2593,1.2593,1.2444,1.2492
2016-11-15,1.249,1.2526,1.2382,1.2454
2016-11-16,1.2455,1.2502,1.2412,1.2442
2016-11-17,1.2443,1.2505,1.2409,1.2418
2016-11-18,1.2385,1.2436,1.2303,1.2346
2016-11-21,1.2346,1.2511,1.2313,1.2493
2016-11-22,1.2494,1.2514,1.2385,1.2421
2016-11-23,1.2423,1.2469,1.236,1.2442
2016-11-24,1.2441,1.2495,1.2403,1.2451
2016-11-25,1.2453,1.2486,1.2416,1.2477
2016-11-28,1.2477,1.2532,1.2387,1.2418
2016-11-29,1.2415,1.2526,1.2389,1.2492
2016-11-30,1.2494,1.2524,1.242,1.2506
2016-12-01,1.2508,1.2696,1.2504,1.2591
2016-12-02,1.2592,1.2738,1.2571,1.2727
2016-12-05,1.2727,1.2745,1.2665,1.2731
2016-12-06,1.2732,1.2775,1.2658,1.2678
2016-12-07,1.2679,1.2684,1.257,1.2627
2016-12-08,1.2613,1.2705,1.2549,1.2585
2016-12-09,1.2586,1.2621,1.2552,1.2573
2016-12-12,1.2573,1.27,1.2566,1.2677
2016-12-13,1.2678,1.2728,1.2653,1.2658
2016-12-14,1.2659,1.2721,1.2531,1.2563
2016-12-15,1.2565,1.2568,1.2377,1.242
2016-12-16,1.2418,1.2511,1.2383,1.2485
2016-12-19,1.2485,1.2503,1.2356,1.2395
2016-12-20,1.24,1.241,1.2313,1.2368
2016-12-21,1.2369,1.2392,1.2324,1.2352
2016-12-22,1.2353,1.2379,1.2278,1.2283
2016-12-23,1.2284,1.2299,1.2229,1.2285
